,date,unemployment
407,1974-10-26,414000.0
408,1974-11-02,406000.0
409,1974-11-09,441000.0
410,1974-11-16,449000.0
411,1974-11-23,518000.0
412,1974-11-30,474000.0
413,1974-12-07,528000.0
414,1974-12-14,510000.0
415,1974-12-21,521000.0
416,1974-12-28,537000.0
417,1975-01-04,456000.0
418,1975-01-11,554000.0
419,1975-01-18,575000.0
420,1975-01-25,555000.0
421,1975-02-01,559000.0
422,1975-02-08,545000.0
423,1975-02-15,530000.0
424,1975-02-22,544000.0
425,1975-03-01,546000.0
426,1975-03-08,551000.0
427,1975-03-15,531000.0
428,1975-03-22,550000.0
429,1975-03-29,555000.0
430,1975-04-05,537000.0
431,1975-04-12,520000.0
432,1975-04-19,531000.0
433,1975-04-26,513000.0
434,1975-05-03,505000.0
435,1975-05-10,507000.0
436,1975-05-17,514000.0
437,1975-05-24,493000.0
438,1975-05-31,475000.0
439,1975-06-07,529000.0
440,1975-06-14,497000.0
441,1975-06-21,497000.0
442,1975-06-28,459000.0
443,1975-07-05,423000.0
444,1975-07-12,446000.0
445,1975-07-19,445000.0
446,1975-07-26,454000.0
447,1975-08-02,454000.0
448,1975-08-09,459000.0
449,1975-08-16,444000.0
450,1975-08-23,457000.0
451,1975-08-30,446000.0
452,1975-09-06,447000.0
453,1975-09-13,456000.0
454,1975-09-20,433000.0
455,1975-09-27,445000.0
456,1975-10-04,426000.0
457,1975-10-11,429000.0
458,1975-10-18,404000.0
459,1975-10-25,426000.0
460,1975-11-01,414000.0
461,1975-11-08,415000.0
462,1975-11-15,386000.0
463,1975-11-22,401000.0
464,1975-11-29,387000.0
465,1975-12-06,373000.0
466,1975-12-13,368000.0
467,1975-12-20,365000.0
468,1975-12-27,391000.0
469,1976-01-03,362000.0
470,1976-01-10,402000.0
471,1976-01-17,370000.0
472,1976-01-24,363000.0
473,1976-01-31,359000.0
474,1976-02-07,353000.0
475,1976-02-14,344000.0
476,1976-02-21,347000.0
477,1976-02-28,349000.0
478,1976-03-06,348000.0
479,1976-03-13,360000.0
480,1976-03-20,368000.0
481,1976-03-27,366000.0
482,1976-04-03,380000.0
483,1976-04-10,373000.0
484,1976-04-17,361000.0
485,1976-04-24,367000.0
486,1976-05-01,385000.0
487,1976-05-08,395000.0
488,1976-05-15,382000.0
489,1976-05-22,394000.0
490,1976-05-29,402000.0
491,1976-06-05,382000.0
492,1976-06-12,407000.0
493,1976-06-19,399000.0
494,1976-06-26,387000.0
495,1976-07-03,394000.0
496,1976-07-10,372000.0
497,1976-07-17,406000.0
498,1976-07-24,394000.0
499,1976-07-31,388000.0
500,1976-08-07,378000.0
501,1976-08-14,382000.0
502,1976-08-21,400000.0
503,1976-08-28,394000.0
504,1976-09-04,421000.0
505,1976-09-11,383000.0
506,1976-09-18,403000.0
507,1976-09-25,423000.0
508,1976-10-02,408000.0
509,1976-10-09,411000.0
510,1976-10-16,403000.0
511,1976-10-23,409000.0
512,1976-10-30,414000.0
513,1976-11-06,390000.0
514,1976-11-13,383000.0
515,1976-11-20,408000.0
516,1976-11-27,377000.0
517,1976-12-04,402000.0
518,1976-12-11,395000.0
519,1976-12-18,365000.0
520,1976-12-25,333000.0
521,1977-01-01,380000.0
522,1977-01-08,416000.0
523,1977-01-15,368000.0
524,1977-01-22,423000.0
525,1977-01-29,422000.0
526,1977-02-05,565000.0
527,1977-02-12,477000.0
528,1977-02-19,399000.0
529,1977-02-26,362000.0
530,1977-03-05,361000.0
531,1977-03-12,355000.0
532,1977-03-19,369000.0
533,1977-03-26,356000.0
534,1977-04-02,350000.0
535,1977-04-09,376000.0
536,1977-04-16,361000.0
537,1977-04-23,375000.0
538,1977-04-30,375000.0
539,1977-05-07,384000.0
540,1977-05-14,381000.0
541,1977-05-21,375000.0
542,1977-05-28,381000.0
543,1977-06-04,363000.0
544,1977-06-11,358000.0
545,1977-06-18,359000.0
546,1977-06-25,365000.0
547,1977-07-02,350000.0
548,1977-07-09,361000.0
549,1977-07-16,366000.0
550,1977-07-23,365000.0
551,1977-07-30,365000.0
552,1977-08-06,378000.0
553,1977-08-13,359000.0
554,1977-08-20,367000.0
555,1977-08-27,365000.0
556,1977-09-03,374000.0
557,1977-09-10,359000.0
558,1977-09-17,362000.0
559,1977-09-24,380000.0
560,1977-10-01,348000.0
561,1977-10-08,365000.0
562,1977-10-15,358000.0
563,1977-10-22,375000.0
564,1977-10-29,349000.0
565,1977-11-05,366000.0
566,1977-11-12,334000.0
567,1977-11-19,360000.0
568,1977-11-26,354000.0
569,1977-12-03,367000.0
570,1977-12-10,364000.0
571,1977-12-17,359000.0
572,1977-12-24,344000.0
573,1977-12-31,364000.0
574,1978-01-07,346000.0
575,1978-01-14,343000.0
576,1978-01-21,352000.0
577,1978-01-28,363000.0
578,1978-02-04,360000.0
579,1978-02-11,373000.0
580,1978-02-18,429000.0
581,1978-02-25,371000.0
582,1978-03-04,355000.0
583,1978-03-11,359000.0
584,1978-03-18,347000.0
585,1978-03-25,335000.0
586,1978-04-01,333000.0
587,1978-04-08,345000.0
588,1978-04-15,309000.0
589,1978-04-22,319000.0
590,1978-04-29,324000.0
591,1978-05-06,334000.0
592,1978-05-13,322000.0
593,1978-05-20,334000.0
594,1978-05-27,318000.0
595,1978-06-03,310000.0
596,1978-06-10,331000.0
597,1978-06-17,326000.0
598,1978-06-24,330000.0
599,1978-07-01,348000.0
600,1978-07-08,356000.0
601,1978-07-15,352000.0
602,1978-07-22,349000.0
603,1978-07-29,346000.0
604,1978-08-05,365000.0
605,1978-08-12,354000.0
606,1978-08-19,343000.0
607,1978-08-26,333000.0
608,1978-09-02,313000.0
609,1978-09-09,337000.0
610,1978-09-16,322000.0
611,1978-09-23,323000.0
612,1978-09-30,318000.0
613,1978-10-07,343000.0
614,1978-10-14,316000.0
615,1978-10-21,338000.0
616,1978-10-28,316000.0
617,1978-11-04,317000.0
618,1978-11-11,304000.0
619,1978-11-18,342000.0
620,1978-11-25,359000.0
621,1978-12-02,377000.0
622,1978-12-09,344000.0
623,1978-12-16,347000.0
624,1978-12-23,352000.0
625,1978-12-30,358000.0
626,1979-01-06,359000.0
627,1979-01-13,392000.0
628,1979-01-20,337000.0
629,1979-01-27,342000.0
630,1979-02-03,348000.0
631,1979-02-10,359000.0
632,1979-02-17,367000.0
633,1979-02-24,360000.0
634,1979-03-03,355000.0
635,1979-03-10,363000.0
636,1979-03-17,359000.0
637,1979-03-24,353000.0
638,1979-03-31,360000.0
639,1979-04-07,465000.0
640,1979-04-14,457000.0
641,1979-04-21,383000.0
642,1979-04-28,357000.0
643,1979-05-05,353000.0
644,1979-05-12,344000.0
645,1979-05-19,346000.0
646,1979-05-26,349000.0
647,1979-06-02,336000.0
648,1979-06-09,365000.0
649,1979-06-16,351000.0
650,1979-06-23,379000.0
651,1979-06-30,369000.0
652,1979-07-07,368000.0
653,1979-07-14,368000.0
654,1979-07-21,395000.0
655,1979-07-28,386000.0
656,1979-08-04,412000.0
657,1979-08-11,386000.0
658,1979-08-18,387000.0
659,1979-08-25,390000.0
660,1979-09-01,389000.0
661,1979-09-08,378000.0
662,1979-09-15,384000.0
663,1979-09-22,388000.0
664,1979-09-29,390000.0
665,1979-10-06,412000.0
666,1979-10-13,393000.0
667,1979-10-20,406000.0
668,1979-10-27,398000.0
669,1979-11-03,395000.0
670,1979-11-10,414000.0
671,1979-11-17,430000.0
672,1979-11-24,414000.0
673,1979-12-01,416000.0
674,1979-12-08,415000.0
675,1979-12-15,411000.0
676,1979-12-22,471000.0
677,1979-12-29,428000.0
678,1980-01-05,394000.0
679,1980-01-12,405000.0
680,1980-01-19,446000.0
681,1980-01-26,412000.0
682,1980-02-02,404000.0
683,1980-02-09,425000.0
684,1980-02-16,415000.0
685,1980-02-23,428000.0
686,1980-03-01,409000.0
687,1980-03-08,418000.0
688,1980-03-15,432000.0
689,1980-03-22,435000.0
690,1980-03-29,475000.0
691,1980-04-05,464000.0
692,1980-04-12,544000.0
693,1980-04-19,548000.0
694,1980-04-26,563000.0
695,1980-05-03,572000.0
696,1980-05-10,601000.0
697,1980-05-17,642000.0
698,1980-05-24,627000.0
699,1980-05-31,637000.0
700,1980-06-07,610000.0
701,1980-06-14,592000.0
702,1980-06-21,599000.0
703,1980-06-28,627000.0
704,1980-07-05,579000.0
705,1980-07-12,533000.0
706,1980-07-19,567000.0
707,1980-07-26,558000.0
708,1980-08-02,569000.0
709,1980-08-09,533000.0
710,1980-08-16,525000.0
711,1980-08-23,512000.0
712,1980-08-30,502000.0
713,1980-09-06,511000.0
714,1980-09-13,492000.0
715,1980-09-20,465000.0
716,1980-09-27,463000.0
717,1980-10-04,462000.0
718,1980-10-11,447000.0
719,1980-10-18,425000.0
720,1980-10-25,418000.0
721,1980-11-01,419000.0
722,1980-11-08,407000.0
723,1980-11-15,427000.0
724,1980-11-22,398000.0
725,1980-11-29,412000.0
726,1980-12-06,416000.0
727,1980-12-13,413000.0
728,1980-12-20,412000.0
729,1980-12-27,399000.0
730,1981-01-03,410000.0
731,1981-01-10,419000.0
732,1981-01-17,421000.0
733,1981-01-24,396000.0
734,1981-01-31,419000.0
735,1981-02-07,420000.0
736,1981-02-14,423000.0
737,1981-02-21,438000.0
738,1981-02-28,434000.0
739,1981-03-07,409000.0
740,1981-03-14,408000.0
741,1981-03-21,401000.0
742,1981-03-28,412000.0
743,1981-04-04,417000.0
744,1981-04-11,396000.0
745,1981-04-18,392000.0
746,1981-04-25,436000.0
747,1981-05-02,413000.0
748,1981-05-09,423000.0
749,1981-05-16,414000.0
750,1981-05-23,415000.0
751,1981-05-30,417000.0
752,1981-06-06,428000.0
753,1981-06-13,425000.0
754,1981-06-20,435000.0
755,1981-06-27,444000.0
756,1981-07-04,460000.0
757,1981-07-11,426000.0
758,1981-07-18,430000.0
759,1981-07-25,407000.0
760,1981-08-01,476000.0
761,1981-08-08,448000.0
762,1981-08-15,442000.0
763,1981-08-22,434000.0
764,1981-08-29,451000.0
765,1981-09-05,473000.0
766,1981-09-12,454000.0
767,1981-09-19,475000.0
768,1981-09-26,491000.0
769,1981-10-03,489000.0
770,1981-10-10,491000.0
771,1981-10-17,487000.0
772,1981-10-24,483000.0
773,1981-10-31,514000.0
774,1981-11-07,514000.0
775,1981-11-14,517000.0
776,1981-11-21,464000.0
777,1981-11-28,552000.0
778,1981-12-05,558000.0
779,1981-12-12,551000.0
780,1981-12-19,539000.0
781,1981-12-26,556000.0
782,1982-01-02,495000.0
783,1982-01-09,545000.0
784,1982-01-16,489000.0
785,1982-01-23,564000.0
786,1982-01-30,583000.0
787,1982-02-06,556000.0
788,1982-02-13,507000.0
789,1982-02-20,544000.0
790,1982-02-27,528000.0
791,1982-03-06,556000.0
792,1982-03-13,539000.0
793,1982-03-20,557000.0
794,1982-03-27,574000.0
795,1982-04-03,578000.0
796,1982-04-10,585000.0
797,1982-04-17,597000.0
798,1982-04-24,588000.0
799,1982-05-01,576000.0
800,1982-05-08,584000.0
801,1982-05-15,585000.0
802,1982-05-22,586000.0
803,1982-05-29,588000.0
804,1982-06-05,611000.0
805,1982-06-12,614000.0
806,1982-06-19,591000.0
807,1982-06-26,582000.0
808,1982-07-03,600000.0
809,1982-07-10,572000.0
810,1982-07-17,567000.0
811,1982-07-24,536000.0
812,1982-07-31,605000.0
813,1982-08-07,606000.0
814,1982-08-14,637000.0
815,1982-08-21,628000.0
816,1982-08-28,647000.0
817,1982-09-04,651000.0
818,1982-09-11,641000.0
819,1982-09-18,680000.0
820,1982-09-25,671000.0
821,1982-10-02,695000.0
822,1982-10-09,651000.0
823,1982-10-16,656000.0
824,1982-10-23,623000.0
825,1982-10-30,637000.0
826,1982-11-06,589000.0
827,1982-11-13,599000.0
828,1982-11-20,577000.0
829,1982-11-27,612000.0
830,1982-12-04,557000.0
831,1982-12-11,533000.0
832,1982-12-18,516000.0
833,1982-12-25,489000.0
834,1983-01-01,534000.0
835,1983-01-08,510000.0
836,1983-01-15,479000.0
837,1983-01-22,479000.0
838,1983-01-29,503000.0
839,1983-02-05,501000.0
840,1983-02-12,486000.0
841,1983-02-19,487000.0
842,1983-02-26,481000.0
843,1983-03-05,495000.0
844,1983-03-12,475000.0
845,1983-03-19,470000.0
846,1983-03-26,481000.0
847,1983-04-02,491000.0
848,1983-04-09,496000.0
849,1983-04-16,515000.0
850,1983-04-23,488000.0
851,1983-04-30,490000.0
852,1983-05-07,494000.0
853,1983-05-14,464000.0
854,1983-05-21,460000.0
855,1983-05-28,454000.0
856,1983-06-04,459000.0
857,1983-06-11,442000.0
858,1983-06-18,434000.0
859,1983-06-25,442000.0
860,1983-07-02,422000.0
861,1983-07-09,412000.0
862,1983-07-16,396000.0
863,1983-07-23,395000.0
864,1983-07-30,415000.0
865,1983-08-06,415000.0
866,1983-08-13,457000.0
867,1983-08-20,445000.0
868,1983-08-27,426000.0
869,1983-09-03,411000.0
870,1983-09-10,403000.0
871,1983-09-17,405000.0
872,1983-09-24,416000.0
873,1983-10-01,413000.0
874,1983-10-08,406000.0
875,1983-10-15,394000.0
876,1983-10-22,394000.0
877,1983-10-29,404000.0
878,1983-11-05,395000.0
879,1983-11-12,390000.0
880,1983-11-19,387000.0
881,1983-11-26,398000.0
882,1983-12-03,365000.0
883,1983-12-10,368000.0
